exp_id,duration,concurrency,interface,delay,port,client_rate,transfer_size,parallel
exp200,10,1,enp7s0np0,10,5100,1,1G,1
exp201,10,2,enp7s0np0,10,5100,2,1G,1
exp202,10,3,enp7s0np0,10,5100,3,1G,1
exp203,10,4,enp7s0np0,10,5100,4,1G,1
exp204,10,5,enp7s0np0,10,5100,5,1G,1
exp205,10,1,enp7s0np0,10,5100,1,1G,1
exp206,10,2,enp7s0np0,10,5100,2,1G,1
exp207,10,3,enp7s0np0,10,5100,3,1G,1
exp208,10,4,enp7s0np0,10,5100,4,1G,1
exp209,10,5,enp7s0np0,10,5100,5,1G,1
exp210,10,1,enp7s0np0,10,5100,1,1G,1
exp211,10,2,enp7s0np0,10,5100,2,1G,1
exp212,10,3,enp7s0np0,10,5100,3,1G,1
exp213,10,4,enp7s0np0,10,5100,4,1G,1
exp214,10,5,enp7s0np0,10,5100,5,1G,1
exp215,10,1,enp7s0np0,10,5100,1,1G,1
exp216,10,2,enp7s0np0,10,5100,2,1G,1
exp217,10,3,enp7s0np0,10,5100,3,1G,1
exp218,10,4,enp7s0np0,10,5100,4,1G,1
exp219,10,5,enp7s0np0,10,5100,5,1G,1
exp220,10,1,enp7s0np0,10,5100,1,1G,1
exp221,10,2,enp7s0np0,10,5100,2,1G,1
exp222,10,3,enp7s0np0,10,5100,3,1G,1
exp223,10,4,enp7s0np0,10,5100,4,1G,1
exp224,10,5,enp7s0np0,10,5100,5,1G,1
